Link,Heading,Short Details
https://www.prothomalo.com/bangladesh/ই-বর্জ্য-বাড়ছে-ঝুঁকি-ব্যবস্থাপনা-নেই,"ই-বর্জ্য বাড়ছে, ঝুঁকি ব্যবস্থাপনা নেই ","ই-বর্জ্য কী, তা জানা নেই ভাঙারির দোকানি কামরুল ইসলামের (৫২)। অথচ তাঁর কাজ ই-বর্জ্য নিয়েই। ঢাকার কেরানীগঞ্জের চুনকুটিয়ায় কামরুলের দোকানে গিয়ে দেখা গেল গোটা বিশেক নষ্ট মুঠোফোন। সঙ্গে আছে পুরোনো ৭টি ..."
https://www.prothomalo.com/bangladesh/সুন্দরবনের-চিত্রিতবুক-কাঠঠোকরা,সুন্দরবনের চিত্রিতবুক কাঠঠোকরা ,"কম্পিউটারে ছবি খুঁজতে গিয়ে একদিন আবিষ্কার করলাম, বহুদিন আগে সুন্দরবনে পাখি পর্যবেক্ষণে গিয়ে করমজল থেকে একটি বিরল প্রজাতির পাখির ছবি তুলেছিলাম। কিন্তু ছবিতে বুক ও গলার অংশ ভালোভাবে না দেখা যাওয়ায় ..."
https://www.prothomalo.com/bangladesh/capital/মেট্রোরেলের-চলাচল-দেখা-যাবে-আগস্টে,মেট্রোরেলের চলাচল দেখা যাবে আগস্টে ,"ঢাকায় মেট্রোরেল চলাচলের উড়ালপথের চার ভাগের তিন ভাগ নির্মাণকাজ শেষ হয়েছে। জাপান থেকে দেশে এসেছে দুই সেট ট্রেন। সেপ্টেম্বরের মধ্যে আরও তিন সেট ট্রেন আসছে। বাকি ১৯ সেট ট্রেন পর্যায়ক্রমে আসবে।
"
https://www.prothomalo.com/bangladesh/গোপালগঞ্জে-করোনার-টিকা-তৈরির-চিন্তা-সরকারের,গোপালগঞ্জে করোনার টিকা তৈরির চিন্তা সরকারের ,দেশে সরকারিভাবে করোনার টিকা উৎপাদনের সম্ভাব্যতা যাচাইয়ের কমিটি গঠন করেছে স্বাস্থ্য মন্ত্রণালয়। এ ক্ষেত্রে এসেনশিয়াল ড্রাগস কোম্পানি লিমিটেডের (ইডিসিএল) গোপালগঞ্জের কারখানাটির সক্ষমতাকে বিশেষ বিবেচনায় ...
https://www.prothomalo.com/bangladesh/সন্তান-নিয়ে-ফেরাদের-দুঃসহ-জীবন,সন্তান নিয়ে ফেরাদের দুঃসহ জীবন,"ছয় মাস বয়সী সন্তানকে অন্যের হাতে তুলে দিয়ে এসেছেন। এই জীবনে তিনি আর তাঁর সন্তানের মুখ দেখতে পাবেন না, এমন শর্তে রাজি হয়ে নিজের সন্তানকে দিয়ে দেওয়া এই নারী বললেন, ‘আমি ছেলেরে না দিয়া কী করুম"
https://www.prothomalo.com/bangladesh/করোনাকালে-মাদক-কারবারে-অভিনব-কৌশল,করোনাকালে মাদক কারবারে অভিনব কৌশল,"জরুরি পণ্য পরিবহনের ট্রাক, লাশবাহী গাড়ি, তেলের লরি, অ্যাম্বুলেন্সসহ অভিনব কৌশলে মাদক বহন করা হচ্ছে।"
https://www.prothomalo.com/bangladesh/সন্দেহঅবিশ্বাস-সম্পর্কের-ঘাটতি-থেকে-খুনোখুনি,"সন্দেহ–অবিশ্বাস, সম্পর্কের ঘাটতি থেকে খুনোখুনি","সাম্প্রতিক কয়েকটি হত্যার ঘটনায় পরিবারের সদস্যদের মধ্যে আন্তসম্পর্কের ঘাটতি, পারস্পরিক সন্দেহ-অবিশ্বাস, ক্ষোভ ও হতাশাকে প্রধান কারণ হিসেবে চিহ্নিত করা হয়েছে। গত তিন মাসে গণমাধ্যমে প্রকাশিত ১৪টি খুনের ..."
https://trust.prothomalo.com/activities/drug-abuse/চঞ্চলদের-ঘরে-ফেরা,চঞ্চলদের ঘরে ফেরা,কলেজে থাকতেই চঞ্চল (ছদ্মনাম) আসক্ত হয়েছিলেন মাদকে। আর আগে থেকেই ধরেন সিগারেট। শুধু নেশার কারণে তাঁকে কলেজ ছাড়তে হয়। তাই দ্বিতীয় বর্ষে পা রাখার মুহূর্তে আবার ঘুরে প্রথম বর্ষে ভর্তি হন ঢাকার একটি ...
https://www.prothomalo.com/politics/বিক্রি-হচ্ছেন-জাতীয়-পার্টির-প্রার্থীরা,‘বিক্রি’ হচ্ছেন জাতীয় পার্টির প্রার্থীরা,আর্থিক সুবিধা’ নিয়ে জাতীয় পার্টির (জাপা) প্রার্থীদের নির্বাচনের মাঠ ছেড়ে দেওয়ার শুরুটা হয়েছিল ২০১৮ সালের সংসদ নির্বাচনে। গত সপ্তাহে ঘটল আরও দুটি ঘটনা। এর ফলে সংশ্লিষ্ট এলাকার প্রতিদ্বন্দ্বী ...
https://www.prothomalo.com/bangladesh/coronavirus/ভরসা-আপাতত-চীনের-টিকা,ভরসা আপাতত চীনের টিকা,"চীনের সিনোফার্মের দেড় কোটি এবং রাশিয়ার স্পুতনিক-ভির এক কোটি টিকা কিনতে সরকার গত মার্চে আলোচনা শুরু করে। প্রতি চালানে টিকার পরিমাণ, প্রথম ও দ্বিতীয় ডোজের টিকা পাওয়ার সুনির্দিষ্ট সময়সূচিসহ কিছু বিষয়ে ..."
