Link,Heading,Short Details
https://www.prothomalo.com/photo/glimpse/এক-ঝলক-২৭-জুন-২০২১,এক ঝলক (২৭ জুন ২০২১),
https://www.bondhushava.com/writings/রিমঝিমাঝিম,রিমঝিমাঝিম," রিমঝিমাঝিম বৃষ্টি পড়ে
টিনের ঘরের চালে
সে আনন্দে মেঘকুমারী
নাচে তালে তালে।
বৃষ্টিজলে গোসল করে
কদম, বকুল, কেয়া
নতুন বউয়ে নাইওর যাবে
ঘাটে নাইরে খেয়া।
পানকৌড়ি ডানা মেলে
বৃষ্টিসুধা খায়
..."
https://www.prothomalo.com/bangladesh/coronavirus/সর্বোচ্চ-মৃত্যুর-রেকর্ড-একদিনেই-প্রাণ-গেল-১১৯-জনের,দেশে করোনায় সর্বোচ্চ মৃত্যুর রেকর্ড,এর আগে গত ১৯ এপ্রিল একদিনে সর্বোচ্চ ১১২ জনের মৃত্যুর তথ্য দিয়েছিল স্বাস্থ্য অধিদপ্তর। দেশে এ পর্যন্ত করোনা সংক্রমিত শনাক্ত রোগীর সংখ্যা দাঁড়িয়েছে মোট ৮ লাখ ৮৮ হাজার ৪০৬। মোট মৃত্যু হয়েছে ১৪ হাজার ১৭২ ...
https://www.prothomalo.com/bangladesh/district/দুই-পাঙাশ-ও-এক-কাতলা-বিক্রি-হলো-৫৫-হাজার-টাকায়,দুই পাঙাশ ও এক কাতলা বিক্রি হলো ৫৫ হাজার টাকায়,১৬ কেজি ওজনের পাঙাশটি ১ হাজার ৩০০ টাকা কেজি দরে এবং ১৬ কেজি ওজনের কাতলা মাছটি ১ হাজার ৪০০ টাকা কেজি দরে বিক্রি করা হয়। অন্যদিকে ১ হাজার ২০০ টাকা কেজি দরে অপর পাঙাশটি বিক্রি হয়েছে।
https://www.prothomalo.com/lifestyle/shopping/আলমগীর-র্যাঞ্চের-বছিলা-সেলস-সেন্টার-উদ্বোধন,আলমগীর র‌্যাঞ্চের বছিলা সেলস সেন্টার উদ্বোধন,
https://www.prothomalo.com/sports/football/ম্যাচটা-কিন্তু-রোনালদো-বনাম-বেলজিয়াম-নয়,ম্যাচটা কিন্তু ‘রোনালদো বনাম বেলজিয়াম নয়’,"এবার ইউরোয় রোনালদো ও লুকাকু সেরা স্ট্রাইকারদের তালিকায় ওপরে থাকবেন। পাঁচ গোল করে সর্বোচ্চ গোলদাতা রোনালদো, লুকাকু পেয়েছেন তিন গোল।"
https://www.kishoralo.com/golpo/কেহেরমানের-টাইম-ট্রাভেল,কেহেরমানের টাইম ট্রাভেল,"দৈত্য হলেও কেহেরমান খুব স্বাস্থ্যসচেতন। রোদ-ঝড়-বৃষ্টি যা–ই থাকুক না কেন, প্রতিদিন সকালবেলা অন্তত পাঁচ কিলো দৌড়ায়। ভোরের আকাশ ফরসা হয়ে উঠেছে। হাতে একটা পানির বোতল নিয়ে বাসার গেটটা বাইরে থেকে বন্ধ করে ..."
https://www.prothomalo.com/bangladesh/সারা-দেশে-গণপরিবহন-বন্ধ-সোমবার-থেকে,সারা দেশে গণপরিবহন বন্ধ সোমবার থেকে,"করোনা পরিস্থিতি নিয়ন্ত্রণে কাল সোমবার সকাল ছয়টা থেকে সারা দেশে গণপরিবহন বন্ধ থাকবে। বন্ধ থাকবে সব ধরনের শপিং মল, মার্কেট, পর্যটন কেন্দ্র, রিসোর্ট, কমিউনিটি সেন্টার ও বিনোদন কেন্দ্র। "
https://www.prothomalo.com/entertainment/dhallywood/কেন-ট্রেনার-নিলেন-মিম,কেন ট্রেনার নিলেন মিম,আগে ট্রেইনার ছাড়াই বেশির ভাগ জিম করতাম সত্য। এতে কিছু ঝুঁকি থাকে। জিমের পশ্চারগুলো ঠিকঠাকমতো না হলে শরীরের অনেক ক্ষতি হওয়ার আশঙ্কা থাকে।
https://www.prothomalo.com/chakri/employment/স্পারসোর-ব্যবহারিক-পরীক্ষা-স্থগিত,স্পারসোর ব্যবহারিক পরীক্ষা স্থগিত,করোনার কারণে বাংলাদেশ মহাকাশ গবেষণা ও দূর অনুধাবন প্রতিষ্ঠানের (স্পারসো) তিন পদের ব্যবহারিক পরীক্ষা স্থগিত করা হয়েছে। আগামী ৩ জুলাই এই তিন পদের নিয়োগের জন্য ব্যবহারিক পরীক্ষা হওয়ার কথা ছিল। স্পারসোর ...
https://www.prothomalo.com/bangladesh/district/কুয়াকাটায়-নির্মাণকাজ-শেষের-আগেই-ধসে-পড়ল-সেতু,কুয়াকাটায় নির্মাণকাজ শেষের আগেই ধসে পড়ল সেতু,কুয়াকাটা পৌর এলাকায় ২০২০ সালের ২৬ জুন সেতুর নির্মাণকাজ শুরু হয়। জুলাই মাসে কাজ শেষ হওয়ার কথা। কিন্তু এর আগেই আজ রোববার সকালে সেতুর দুটি গার্ডার ধসে পড়েছে।
https://www.prothomalo.com/bangladesh/করোনায়-বিয়ের-আয়োজন-রেস্তোরাঁর-মালিককে-জরিমানা,"করোনায় বিয়ের আয়োজন, রেস্তোরাঁর মালিককে জরিমানা",সিলেটের নগরের পূর্ব জিন্দাবাজার এলাকার গ্র্যান্ড বাফেট রেস্তোরাঁয় গোপনে দুটি বিয়ের আয়োজন করা হয়েছিল। এতে কোনো স্বাস্থ্যবিধি অনুসরণ করা হয়নি। রোববার দুপুরে খবর পেয়ে ওই রেস্তোরাঁয় অভিযান চালান ...
https://www.prothomalo.com/bangladesh/district/যশোরে-২৪-ঘণ্টায়-৮-জনের-মৃত্যু-শনাক্ত-১৩৫,"যশোরে ২৪ ঘণ্টায় ৮ জনের মৃত্যু, শনাক্ত ১৩৫",যশোর জেনারেল হাসপাতালের করোনা ইউনিট (রেড) ও আইসোলেশন (ইয়োলো) ওয়ার্ডে নতুন করে ৬০ রোগী ভর্তি হয়েছেন। রেড ও ইয়োলো জোনে কোনো শয্যা খালি নেই। মেঝেতেও রোগী রাখার জায়গা নেই। প্রতিদিনই ৬০ থেকে ৭০ জন করোনায় ...
https://trust.prothomalo.com/video/মানুষের-জন্য-কাজ-করতে-চাই-অদ্বিতীয়া-নুসরাত,মানুষের জন্য কাজ করতে চাই: অদ্বিতীয়া নুসরাত,প্রথম আলো ট্রাস্টের অনলাইন আয়োজন ‘অদ্বিতীয়ার গল্প’
https://www.prothomalo.com/bangladesh/district/দেড়-বছর-ধরে-ফলের-অপেক্ষায়-রাবির-আরবি-বিভাগের-১২০-শিক্ষার্থী,দেড় বছর ধরে ফলের অপেক্ষায় রাবির আরবি বিভাগের ১২০ শিক্ষার্থী,"কয়েকজন শিক্ষার্থী বলেন, তাঁরা ২০১৮-১৯ শিক্ষাবর্ষের শিক্ষার্থী। তাঁদের পর ২০১৯-২০ শিক্ষাবর্ষের শিক্ষার্থীও ভর্তি হয়েছেন। তাঁরাও নিজেদের প্রথম বর্ষের বলে পরিচয় দেন। এ ছাড়া বিশ্ববিদ্যালয়ে আসন্ন ২০২০-২১ ..."
https://www.prothomalo.com/bangladesh/capital/আনসার-আল-ইসলামের-৩-সদস্যকে-গ্রেপ্তার-দাবি,আনসার আল ইসলামের ৩ সদস্যকে গ্রেপ্তার,রাজধানীর রামপুরায় গতকাল শনিবার রাতে অভিযান চালিয়ে নিষিদ্ধ জঙ্গি সংগঠন আনসার আল ইসলামের সন্দেহজনক তিন সদস্যকে গ্রেপ্তার করেছে পুলিশ। তাঁরা হলেন সাইয়েদ তাইমিয়া ইবরাহিম ওরফে আনোয়ার ও তাঁর দুই সহযোগী ...
